BN_C02_L01_W01,a breath of fresh air,üdítő változatosság
BN_C02_L01_W02,easy on the eye,kellemes / jó ránézni
BN_C02_L01_W03,dense,"sűrű, tömény"
BN_C02_L01_W04,bathtub,fürdőkád
BN_C02_L01_W05,custom made,méretre / egyénileg gyártott
BN_C02_L01_W06,inflation,"infláció, pénzromlás"
BN_C02_L01_W07,compound interest,kamatos kamat
BN_C02_L01_W08,emergency fund,(pénzügyi) vésztartalék
BN_C02_L01_W09,diversification,"diverzifikáció (változatossá tétel, kockázatmegosztás, portfólióbővítés)"
BN_C02_L01_W10,high-interest debt,magas kamatozású adósság
BN_C02_L01_W11,ownership,tulajdonlás
BN_C02_L01_W12,tax-free investment account,adómentes befektetési számla
BN_C02_L01_W13,individual stocks,egyéni részvények
BN_C02_L01_W14,barrier to entry,belépési korlát / küszöb
BN_C02_L01_W15,expenses,kiadások
BN_C02_L01_W16,accessible,hozzáférhető
BN_C02_L01_W17,returns,hozamok
BN_C02_L01_W18,previous,előző
BN_C02_L01_W19,spread risk,kockázatot szétteríteni
BN_C02_L01_W20,assets,"javak, eszközök"
BN_C02_L01_W21,property,ingatlan
BN_C02_L01_W22,cost,költség
BN_C02_L01_W23,profit,nyereség
BN_C02_L01_W24,warn against something,figyelmeztetni valamire
BN_C02_L01_W25,outcome,eredmény
